id,gene,log2FC,pval,n_group1,n_group2,group1,group2,padj,neglog10_padj
Q9R0H0,Acox1,0.4243093546819088,0.4186055493443443,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q91Y63,Slc13a3,-1.190242645318092,0.1998217109074014,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
E9PXE2,Mcf2l,0.4175090213485761,0.4643816359918384,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q45VK7-2,Dync2h1,-0.8209639786514245,0.1721205756159952,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q91Z61,Diras1,-0.6243633119847569,0.185355976370199,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
A2ASI5,Scn3a,-0.7664459786514228,0.007780917387174,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q9JL62,Gltp,-0.2492329786514222,0.2853180030463058,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q3UUI3,Them4,0.2547996880152414,0.4632195931831059,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q9D880,Timm50,-0.4722996453180919,0.2530455230323075,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q80XK6,Atg2b,-1.1734143119847582,0.1689195541784926,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
P62852,Rps25,0.3146896880152408,0.1740778399113258,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
D3Z7P3,Gls,-0.4722326453180905,0.2667667077440194,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
P63141,Kcna2,-0.1455003119847582,0.4101420392542567,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
A0A087WNU5,Ank3,0.0898370213485781,0.4485346944190428,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q8BJZ4,Mrps35,-0.3586026453180917,0.1386282286812612,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q9EQQ2,Yipf5,0.995635354681908,0.1707059916181481,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q91VR7,Map1lc3a,0.3929886880152473,0.0809472152324684,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
P70452,Stx4,-1.074272645318092,0.2596281869983796,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
P62331,Arf6,-0.8301536453180907,0.4116835721908912,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q8VDW0,Ddx39a,-0.7619579786514237,0.3607236252917338,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q8C8T7,Elfn1,-0.4870406453180882,0.2826394651323857,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
A2ATS6,Rtn4rl2,-1.4111066453180898,0.1747588461997458,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q61233,Lcp1,-0.3485639786514252,0.2077553950129552,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
P56873,Sssca1,-0.6538086453180902,0.3551877367030402,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
P04627,Araf,-0.928899978651426,0.3903011884799606,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q9EST4,Psmg2,-0.7284206453180921,0.3896234038914943,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q07417,Acads,-0.3434776453180932,0.3791153751411054,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q9D967,Mdp1,0.7665196880152463,0.2601815023591011,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q9WTR5,Cdh13,-0.4763589786514224,0.2559675743717157,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q3URD3,Slmap,-0.5023626453180912,0.2339247571751323,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
P59325,Eif5,0.296684688015242,0.3800750643918389,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q9JHK5,Plek,-1.5891056453180905,0.1314584775587108,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q9Z2W9,Gria3,-0.2184439786514245,0.4307617926027448,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q921C1,Gjc3,-0.3032069786514224,0.0922010707405911,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q9R0L6-2,Pcm1,-0.7624543119847562,0.33196872109106,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q8BK64,Ahsa1,-1.3631459786514215,0.3716717672178795,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
E9PV26,Prr36,-0.2999346453180891,0.380539729889093,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q9Z0H4-9,Celf2,-0.5647983119847542,0.3735618786756959,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q8K411,Pitrm1,-0.4171253119847566,0.4149108245781754,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
E9PX52,Asap2,-0.1599743119847536,0.2130892234078025,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q5U3K5,Rabl6,0.4292466880152439,0.3369523419013988,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
P63239,Pcsk1,-0.4407396453180912,0.3269343365029531,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q9CQZ6,Ndufb3,-0.4356743119847586,0.184955151659965,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q9CRY7,Gdpd1,-0.8792909786514223,0.2682242928572059,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
P27600,Gna12,0.6893470213485777,0.421947510918793,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
P19096,Fasn,-0.141860978651426,0.174769310688488,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
D3YUP1,Carm1,-0.7826833119847576,0.2244942663988416,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
O88845,Akap10,0.8393390213485796,0.2524565650927209,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
P40237,Cd82,-0.8650643119847583,0.2193855427495128,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
Q80UG5,,0.1542340213485786,0.1277213045506697,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
P53994,Rab2a,-0.1753756453180877,0.3173506136740296,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9321835517860054,0.0304985643851928
